,model,count
0,MARUTI WAGON R,460
1,HYUNDAI I10,365
2,MARUTI SWIFT,288
3,HONDA CITY,207
4,HYUNDAI GRAND I10,166
5,HYUNDAI I20,145
6,MARUTI ALTO,144
7,HONDA AMAZE,127
8,TOYOTA ETIOS,125
9,HYUNDAI SANTRO,96
10,HONDA BRIO,96
11,HYUNDAI EON,89
12,VOLKSWAGEN POLO,70
13,RENAULT KWID,56
14,HONDA JAZZ,53
15,MARUTI CELERIO,53
16,MARUTI RITZ,48
17,HYUNDAI VERNA,46
18,MARUTI SWIFT DZIRE,43
19,HYUNDAI ELITE,41
20,MARUTI ALTO 800,40
21,VOLKSWAGEN VENTO,34
22,FORD ECOSPORT,34
23,HYUNDAI SANTRO XING,30
24,HYUNDAI XCENT,28
25,MARUTI ERTIGA,26
26,FORD FIGO,24
27,MARUTI ALTO K10,22
28,MARUTI BALENO,19
29,MARUTI EECO,18
30,SKODA FABIA,15
31,MARUTI SX4,15
32,NISSAN MICRA,14
33,SKODA RAPID,14
34,HYUNDAI ACCENT,14
35,TOYOTA COROLLA,13
36,RENAULT DUSTER,13
37,CHEVROLET BEAT,12
38,MARUTI ZEN,12
39,TOYOTA COROLLA ALTIS,12
40,NISSAN SUNNY,11
41,DATSUN GO,10
42,TATA ZEST,9
43,MARUTI CIAZ,9
44,TATA NANO,7
45,HONDA MOBILIO,6
46,SKODA SUPERB,6
47,MERCEDES-BENZ C-CLASS,5
48,MARUTI ZEN ESTILO,5
49,MARUTI A-STAR,5
50,NISSAN TERRANO,5
51,MERCEDES BENZ,5
52,CHEVROLET SPARK,4
53,CHEVROLET SAIL,4
54,TOYOTA ETIOS LIVA,4
55,HONDA CIVIC,3
56,TATA BOLT,3
57,FORD FIESTA,3
58,MERCEDES-BENZ B CLASS,2
59,FIAT LINEA,2
60,TATA INDICA,2
61,MARUTI A,2
62,MERCEDES-BENZ E-CLASS,2
63,NISSAN MICRA ACTIVE,2
64,MARUTI WAGON R STINGRAY,2
65,GATEWAY ERROR,1
66,DATSUN REDI,1
67,SKODA OCTAVIA,1
68,MARUTI S,1
69,MAHINDRA QUANTO,1
70,RENAULT SCALA,1
71,HONDA CRV,1
72,CHEVROLET AVEO,1
73,MAHINDRA KUV 100,1
74,DATSUN GO PLUS,1
75,TATA INDIGO,1
76,FORD FIESTA CLASSIC,1
77,HYUNDAI ELANTRA,1
78,HONDA AMAZE 2ND GEN,1
79,MARUTI GYPSY,1
80,MERCEDES-BENZ A CLASS,1
81,MINI COOPER,1
82,DATSUN REDIGO,1
83,FIAT PUNTO,1
84,TOYOTA ETIOS CROSS,1
