,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
0,JEEP COMPASS,850000.0,STEAL DEAL,DL-10,2020,Petrol,116562,Automatic,1368.0,1,2020,3rd Party,Cars24,LONGITUDE PLUS  ,6,6,9,False,163,False,19427.0,False,0.16666666666666666
1,MAHINDRA XUV500,451000.0,FAIR PRICE,DL-10,2016,Diesel,238933,Automatic,1997.0,1,2016,Unknown,Cars24,W6 9,10,10,0,True,144,False,23893.3,False,0.1
2,HYUNDAI EON,84000.0,STEAL DEAL,UP-15,2013,CNG,94507,Manual,814.0,2,2012,3rd Party,Cars24,D-LITE,14,13,1,True,109,True,6750.5,False,0.14285714285714285
3,HYUNDAI I20,181000.0,STEAL DEAL,DL-10,2013,CNG,120121,Manual,1197.0,2,2013,3rd Party,Cars24,SPORTZ ,13,13,2,True,314,False,9240.08,False,0.15384615384615385
4,HONDA CITY,307000.0,STEAL DEAL,DL-4C,2014,Petrol,77884,Manual,1497.0,2,2014,Unknown,Cars24, SV,12,12,3,True,684,False,6490.33,False,0.16666666666666666
5,HYUNDAI GRAND I10,275000.0,STEAL DEAL,GJ-01,2015,Petrol,84013,Manual,1197.0,1,2015,3rd Party,Cars24,SPORTZ  KAPPA VTVT,11,11,4,False,457,True,7637.55,False,0.09090909090909091
6,HONDA WR-V,316000.0,STEAL DEAL,HR-13,2017,Diesel,179793,Manual,1498.0,3,2017,Unknown,Cars24, I-DTEC VX,9,9,1,True,92,True,19977.0,False,0.3333333333333333
7,MARUTI WAGON R,131000.0,STEAL DEAL,DL-9C,2014,Petrol,183042,Manual,998.0,2,2014,3rd Party,Cars24, VXI,12,12,3,True,595,False,15253.5,False,0.16666666666666666
8,MARUTI CIAZ,350000.0,STEAL DEAL,DL-12,2018,Diesel,225122,Manual,1248.0,1,2018,Unknown,Cars24,SIGMA  ,8,8,2,True,268,False,28140.25,False,0.125
9,TATA TIAGO,231999.99999999997,GREAT PRICE,DL-1C,2017,Diesel,81259,Manual,1047.0,2,2017,3rd Party,Cars24,XM ,9,9,1,True,260,False,9028.78,False,0.2222222222222222
10,MAHINDRA XUV700,1160000.0,STEAL DEAL,DL-1C,2022,Petrol,84754,Automatic,1997.0,2,2022,Unknown,Cars24,AX 5 P 5 STR,4,4,11,False,79,False,21188.5,False,0.5
11,MARUTI WAGON R,149000.0,GREAT PRICE,DL-3C,2012,CNG,51700,Manual,998.0,3,2012,Unknown,Cars24, LXI,14,14,1,True,595,False,3692.86,False,0.21428571428571427
12,TOYOTA INNOVA,1169000.0,FAIR PRICE,HR-26,2017,Petrol,87622,Automatic,2694.0,2,2016,Unknown,Cars24,CRYSTA  ZX 7 STR,10,9,5,False,63,True,8762.2,False,0.2
13,HONDA CITY,280000.0,STEAL DEAL,JH-01,2013,Petrol,98135,Manual,1497.0,1,2013,Unknown,Cars24, V,13,13,2,True,684,True,7548.85,False,0.07692307692307693
14,HYUNDAI VERNA,844999.9999999999,GREAT PRICE,DL-8C,2022,Petrol,54818,Manual,1497.0,1,2022,Comprehensive,Cars24,SX  VTVT,4,4,11,False,220,False,13704.5,False,0.25
15,SKODA SUPERB,1060000.0,HIGH PRICE,CH-01,2017,Diesel,115440,Automatic,1968.0,1,2017,Unknown,Cars24,L&K  TDI,9,9,1,True,31,True,12826.67,False,0.1111111111111111
16,HYUNDAI VERNA,250000.0,STEAL DEAL,DL-10,2014,CNG,160332,Manual,1591.0,3,2014,Unknown,Cars24,FLUIDIC  VTVT SX OPT,12,12,3,True,220,False,13361.0,False,0.25
17,MARUTI SWIFT,190000.0,STEAL DEAL,HR-26,2012,CNG,79024,Manual,1197.0,1,2012,Unknown,Cars24,VXI,14,14,1,True,594,True,5644.57,False,0.07142857142857142
18,HYUNDAI VERNA,167000.0,STEAL DEAL,DL-4C,2013,CNG,110199,Manual,1591.0,4,2013,3rd Party,Cars24,FLUIDIC  VTVT EX,13,13,2,True,220,False,8476.85,False,0.3076923076923077
19,MARUTI SWIFT,272000.0,STEAL DEAL,DL-5C,2015,CNG,121007,Manual,1197.0,2,2015,Unknown,Cars24,DZIRE VXI,11,11,4,False,594,False,11000.64,False,0.18181818181818182
20,MAHINDRA XUV500,397000.0,STEAL DEAL,DL-10,2016,Diesel,83108,Automatic,1997.0,2,2016,Unknown,Cars24,W6 9,10,10,0,True,144,False,8310.8,False,0.2
21,MARUTI WAGON R,135000.0,STEAL DEAL,DL-2C,2013,Petrol,62013,Manual,998.0,4,2013,Unknown,Cars24, VXI,13,13,2,True,595,False,4770.23,False,0.3076923076923077
22,HYUNDAI I10,94000.0,STEAL DEAL,DL-4C,2011,Petrol,36999,Manual,1086.0,1,2011,Unknown,Cars24,MAGNA ,15,15,0,True,373,False,2466.6,False,0.06666666666666667
23,MARUTI BALENO,415000.00000000006,STEAL DEAL,DL-12,2020,Petrol,54745,Manual,1197.0,1,2020,Unknown,Cars24,SIGMA  ,6,6,9,False,493,False,9124.17,False,0.16666666666666666
24,MARUTI WAGON R,260000.0,STEAL DEAL,DL-9C,2018,Petrol,74935,Automatic,998.0,1,2017,Unknown,Cars24, VXI,9,8,6,False,595,False,8326.11,False,0.1111111111111111
25,HYUNDAI I10,94000.0,STEAL DEAL,DL-8C,2011,Petrol,30433,Manual,1197.0,3,2011,Unknown,Cars24,MAGNA ,15,15,0,True,373,False,2028.87,False,0.2
26,MARUTI SWIFT,97000.0,STEAL DEAL,DL-5C,2011,CNG,100000,Manual,1197.0,2,2011,Unknown,Cars24,DZIRE VXI,15,15,0,True,594,False,6666.67,False,0.13333333333333333
27,HYUNDAI GRAND I10,352000.0,STEAL DEAL,DL-4C,2019,Petrol,32690,Manual,1197.0,2,2019,3rd Party,Cars24,SPORTZ  KAPPA VTVT,7,7,8,False,457,False,4670.0,False,0.2857142857142857
28,KIA SELTOS,900000.0,FAIR PRICE,DL-3C,2020,Diesel,94056,Manual,1493.0,1,2020,3rd Party,Cars24,HTX  ,6,6,4,False,444,False,15676.0,False,0.16666666666666666
29,MARUTI DZIRE,371000.0,STEAL DEAL,DL-8C,2017,CNG,68556,Manual,1197.0,1,2017,Unknown,Cars24,VXI,9,9,6,False,99,False,7617.33,False,0.1111111111111111
30,MAHINDRA XUV700,1208000.0,HIGH PRICE,HR-10,2023,Diesel,47117,Manual,2184.0,1,2023,Unknown,Cars24,MX D 5 STR,3,3,7,False,79,True,15705.67,False,0.3333333333333333
31,MARUTI DZIRE,466000.0,STEAL DEAL,HR-19,2020,Petrol,56758,Manual,1197.0,1,2020,Unknown,Cars24,VXI,6,6,9,False,99,True,9459.67,False,0.16666666666666666
32,HONDA CITY,280000.0,STEAL DEAL,DL-4C,2015,CNG,91351,Manual,1497.0,2,2015,Unknown,Cars24, S,11,11,4,False,684,False,8304.64,False,0.18181818181818182
33,MARUTI SWIFT,133000.0,STEAL DEAL,DL-5C,2012,Petrol,107641,Manual,1197.0,1,2011,3rd Party,Cars24,VXI,15,14,0,True,594,False,7176.07,False,0.06666666666666667
34,MARUTI WAGON-R,532000.0,STEAL DEAL,DL-12,2022,CNG,22130,Manual,998.0,1,2022,3rd Party,Cars24,VXI  ,4,4,11,False,114,False,5532.5,False,0.25
35,GATEWAY ERROR,270000.0,STEAL DEAL,DL-1C,2015,Petrol,26759,Manual,1197.0,1,2015,Unknown,Cars24,CODE 502,11,11,4,False,1,False,2432.64,False,0.09090909090909091
36,MARUTI GRAND VITARA,1025000.0,STEAL DEAL,DL-5C,2023,Petrol,78411,Automatic,1462.0,1,2023,Unknown,Cars24,DELTA SMART HYBRID,3,3,12,False,120,False,26137.0,False,0.3333333333333333
37,MARUTI WAGON R,150000.0,STEAL DEAL,DL-8C,2013,Petrol,107489,Manual,998.0,1,2013,Unknown,Cars24, LXI,13,13,2,True,595,False,8268.38,False,0.07692307692307693
38,TOYOTA ETIOS,110000.00000000001,STEAL DEAL,DL-3C,2011,Petrol,35185,Manual,1496.0,2,2011,Unknown,Cars24,VX,15,15,0,True,144,False,2345.67,False,0.13333333333333333
39,HYUNDAI I20,123000.0,STEAL DEAL,DL-10,2012,CNG,79828,Manual,1216.7333333333333,3,2012,Unknown,Cars24,SPORTZ ,14,14,1,True,314,False,5702.0,False,0.21428571428571427
40,TATA TIAGO,453000.0,GREAT PRICE,JH-09,2022,Petrol,18411,Manual,1199.0,2,2022,Unknown,Cars24,NRG XZ,4,4,11,False,260,True,4602.75,False,0.5
41,FORD FIGO,231999.99999999997,STEAL DEAL,UP-21,2017,Petrol,61651,Manual,1196.0,3,2017,Unknown,Cars24,ASPIRE TITANIUM  ,9,9,6,False,62,True,6850.11,False,0.3333333333333333
42,MARUTI ALTO,174000.0,STEAL DEAL,DL-3C,2015,CNG,102866,Manual,998.0,2,2015,3rd Party,Cars24,K10 VXI,11,11,4,False,210,False,9351.45,False,0.18181818181818182
43,KIA CARENS,1323000.0,HIGH PRICE,HR-26,2023,Diesel,6059,Manual,1493.0,1,2023,Unknown,Cars24,PREMIUM   IMT 7 STR,3,3,7,False,90,True,2019.67,False,0.3333333333333333
44,HONDA JAZZ,256000.0,STEAL DEAL,DL-9C,2015,Petrol,64011,Manual,1199.0,3,2015,Unknown,Cars24, V,11,11,4,False,127,False,5819.18,False,0.2727272727272727
45,HONDA WR-V,260000.0,STEAL DEAL,UP-16,2017,Diesel,178574,Manual,1498.0,3,2017,Unknown,Cars24, I-DTEC S,9,9,1,True,92,True,19841.56,False,0.3333333333333333
46,MARUTI WAGON R,95000.0,STEAL DEAL,DL-12,2012,Petrol,87677,Manual,998.0,3,2012,3rd Party,Cars24, VXI,14,14,1,True,595,False,6262.64,False,0.21428571428571427
47,MARUTI CIAZ,531000.0,STEAL DEAL,DL-7C,2018,Petrol,101545,Manual,1462.0,1,2018,3rd Party,Cars24,ZETA  SHVS ,8,8,7,False,268,False,12693.12,False,0.125
48,HONDA JAZZ,250000.0,STEAL DEAL,DL-7C,2015,Petrol,112517,Manual,1199.0,1,2015,Unknown,Cars24, V,11,11,4,False,127,False,10228.82,False,0.09090909090909091
49,JEEP COMPASS,844000.0,STEAL DEAL,DL-3C,2019,Petrol,58748,Manual,1368.0,2,2019,Unknown,Cars24,SPORT  ,7,7,8,False,163,False,8392.57,False,0.2857142857142857
50,MARUTI WAGON R,99000.0,STEAL DEAL,HR-51,2012,Petrol,37395,Manual,998.0,1,2011,Unknown,Cars24, VXI,15,14,0,True,595,True,2493.0,False,0.06666666666666667
51,HONDA BRIO,106000.0,STEAL DEAL,HR-26,2012,CNG,77074,Manual,1198.0,3,2012,3rd Party,Cars24,S,14,14,1,True,106,True,5505.29,False,0.21428571428571427
52,HYUNDAI I10,140000.0,STEAL DEAL,DL-10,2013,CNG,77977,Manual,1086.0,3,2013,Unknown,Cars24,MAGNA ,13,13,2,True,373,False,5998.23,False,0.23076923076923078
53,RENAULT DUSTER,259000.0,STEAL DEAL,DL-8C,2016,Diesel,76390,Manual,1461.0,1,2016,Unknown,Cars24,85 PS RXS ,10,10,0,True,79,False,7639.0,False,0.1
54,MARUTI BALENO,365000.0,GREAT PRICE,DL-12,2016,Petrol,22095,Manual,1197.0,1,2016,Unknown,Cars24,DELTA  ,10,10,5,False,493,False,2209.5,False,0.1
55,HYUNDAI I20,154000.0,STEAL DEAL,HR-26,2012,Petrol,32524,Manual,1197.0,2,2012,Unknown,Cars24,MAGNA ,14,14,1,True,314,True,2323.14,False,0.14285714285714285
56,MARUTI WAGON-R,538000.0,FAIR PRICE,DL-12,2022,Petrol,16105,Manual,1197.0,1,2022,Unknown,Cars24,ZXI PLUS ,4,4,11,False,114,False,4026.25,False,0.25
57,KIA SELTOS,695000.0,STEAL DEAL,HR-26,2019,Petrol,71224,Manual,1497.0,2,2019,Unknown,Cars24,HTK PLUS ,7,7,8,False,444,True,10174.86,False,0.2857142857142857
58,MARUTI SWIFT,104000.0,STEAL DEAL,DL-2C,2011,CNG,73396,Manual,1197.0,2,2011,Unknown,Cars24,DZIRE LXI,15,15,0,True,594,False,4893.07,False,0.13333333333333333
59,HYUNDAI I20,97000.0,STEAL DEAL,DL-9C,2012,CNG,145323,Manual,1197.0,2,2011,Unknown,Cars24,MAGNA ,15,14,0,True,314,False,9688.2,False,0.13333333333333333
60,RENAULT TRIBER,500000.0,STEAL DEAL,HR-26,2020,Petrol,25923,Automatic,999.0,2,2020,Unknown,Cars24,RXZ,6,6,9,False,75,True,4320.5,False,0.3333333333333333
61,MARUTI CIAZ,409999.99999999994,STEAL DEAL,DL-12,2018,Petrol,69218,Manual,1373.0,1,2018,Unknown,Cars24,DELTA  ,8,8,7,False,268,False,8652.25,False,0.125
62,HYUNDAI CRETA,698000.0,HIGH PRICE,DL-9C,2017,Petrol,85468,Manual,1591.0,1,2017,Unknown,Cars24,SX PLUS   SPECIAL EDITION,9,9,6,False,681,False,9496.44,False,0.1111111111111111
63,HONDA AMAZE,218000.00000000003,STEAL DEAL,DL-9C,2013,Petrol,45102,Manual,1198.0,2,2013,3rd Party,Cars24, S,13,13,2,True,408,False,3469.38,False,0.15384615384615385
64,MARUTI SWIFT,150000.0,STEAL DEAL,DL-9C,2011,Petrol,261833,Manual,1197.0,1,2011,Unknown,Cars24,ZXI,15,15,0,True,594,False,17455.53,False,0.06666666666666667
65,HYUNDAI VERNA,1044999.9999999999,HIGH PRICE,HR-26,2023,Petrol,23183,Manual,1497.0,1,2023,Unknown,Cars24,SX  L MPI,3,3,12,False,220,True,7727.67,False,0.3333333333333333
66,HYUNDAI VENUE,765000.0,GREAT PRICE,DL-4C,2021,Petrol,56773,Automatic,998.0,1,2021,Unknown,Cars24,SX PLUS  TURBO DCT,5,5,10,False,235,False,11354.6,False,0.2
67,HONDA CITY,420000.0,STEAL DEAL,DL-1C,2017,Diesel,124904,Manual,1498.0,2,2017,3rd Party,Cars24, I-DTEC VX,9,9,1,True,684,False,13878.22,False,0.2222222222222222
68,MG HECTOR,1169000.0,HIGH PRICE,DL-14,2021,Petrol,29180,Manual,1451.0,1,2021,3rd Party,Cars24,SUPER  ,5,5,10,False,244,False,5836.0,False,0.2
69,TATA HARRIER,1290000.0,HIGH PRICE,DL-12,2023,Diesel,29432,Manual,1956.0,1,2023,Unknown,Cars24,XM  KRYOTEC,3,3,7,False,117,False,9810.67,False,0.3333333333333333
70,HYUNDAI I10,87000.0,STEAL DEAL,DL-8C,2011,CNG,134517,Manual,1197.0,3,2011,Unknown,Cars24,MAGNA ,15,15,0,True,373,False,8967.8,False,0.2
71,HONDA AMAZE,394000.0,STEAL DEAL,DL-10,2019,Petrol,59179,Manual,1199.0,2,2019,Unknown,Cars24, S,7,7,8,False,408,False,8454.14,False,0.2857142857142857
72,HYUNDAI I20,94000.0,STEAL DEAL,DL-4C,2011,Petrol,48455,Manual,1197.0,2,2011,Unknown,Cars24,MAGNA ,15,15,0,True,314,False,3230.33,False,0.13333333333333333
73,HYUNDAI VERNA,531000.0,STEAL DEAL,DL-8C,2018,Diesel,98916,Manual,1582.0,2,2018,Unknown,Cars24, SX (O) CRDI,8,8,2,True,220,False,12364.5,False,0.25
74,MAHINDRA MARAZZO,516000.0,FAIR PRICE,DL-8C,2019,Diesel,121332,Manual,1497.0,1,2019,Unknown,Cars24,M6 7 STR,7,7,3,True,15,False,17333.14,False,0.14285714285714285
75,MAHINDRA XUV500,821000.0000000001,STEAL DEAL,HP-38,2018,Diesel,61571,Manual,2179.0,1,2017,Unknown,Cars24,W10,9,8,1,True,144,True,6841.22,False,0.1111111111111111
76,SKODA KUSHAQ,791000.0,STEAL DEAL,HR-87,2022,Petrol,25096,Automatic,999.0,1,2022,Unknown,Cars24,AMBITION  TSI,4,4,11,False,45,True,6274.0,False,0.25
77,MARUTI WAGON R,247000.00000000003,STEAL DEAL,DL-5C,2017,CNG,70623,Manual,998.0,2,2017,Unknown,Cars24, VXI,9,9,6,False,595,False,7847.0,False,0.2222222222222222
78,MG HECTOR,1050000.0,GREAT PRICE,DL-12,2020,Petrol,45488,Automatic,1451.0,1,2020,3rd Party,Cars24,SHARP  DCT ,6,6,9,False,244,False,7581.33,False,0.16666666666666666
79,HYUNDAI I10,90000.0,STEAL DEAL,DL-2C,2011,Petrol,46905,Manual,1197.0,1,2011,Unknown,Cars24,MAGNA ,15,15,0,True,373,False,3127.0,False,0.06666666666666667
80,HONDA CITY,275000.0,STEAL DEAL,HR-03,2015,Petrol,161000,Manual,1497.0,1,2015,3rd Party,Cars24, SV,11,11,4,False,684,True,14636.36,False,0.09090909090909091
81,HYUNDAI I20,94000.0,STEAL DEAL,DL-3C,2011,Petrol,64000,Manual,1197.0,2,2011,Unknown,Cars24,MAGNA ,15,15,0,True,314,False,4266.67,False,0.13333333333333333
82,MARUTI CIAZ,290000.0,STEAL DEAL,DL-8C,2016,Diesel,159350,Manual,1248.0,1,2016,Unknown,Cars24,ZDI SHVS,10,10,0,True,268,False,15935.0,False,0.1
83,MARUTI ALTO,249000.00000000003,FAIR PRICE,HR-43,2016,Petrol,48047,Manual,998.0,1,2016,Unknown,Cars24,K10 VXI,10,10,5,False,210,True,4804.7,False,0.1
84,KIA SELTOS,899000.0,STEAL DEAL,HR-51,2020,Petrol,95271,Automatic,1353.0,1,2020,3rd Party,Cars24,GTX PLUS DCT  ,6,6,9,False,444,True,15878.5,False,0.16666666666666666
85,KIA SELTOS,715000.0,STEAL DEAL,DL-10,2020,Diesel,123133,Automatic,1493.0,1,2020,3rd Party,Cars24,HTK PLUS  ,6,6,4,False,444,False,20522.17,False,0.16666666666666666
86,MARUTI ALTO,87000.0,STEAL DEAL,MH-40,2011,Petrol,35728,Manual,796.0,2,2011,3rd Party,Cars24,LXI,15,15,0,True,210,True,2381.87,False,0.13333333333333333
87,HYUNDAI I10,94000.0,STEAL DEAL,DL-4C,2011,Petrol,84457,Manual,1197.0,1,2011,Unknown,Cars24,SPORTZ ,15,15,0,True,373,False,5630.47,False,0.06666666666666667
88,HONDA CITY,950000.0,GREAT PRICE,TS-09,2021,Petrol,49200,Automatic,1498.0,1,2021,Unknown,Cars24, VX CVT,5,5,10,False,684,True,9840.0,False,0.2
89,HYUNDAI I10,91000.0,STEAL DEAL,DL-3C,2011,Petrol,40500,Manual,1086.0,2,2011,Unknown,Cars24,ERA ,15,15,0,True,373,False,2700.0,False,0.13333333333333333
90,MARUTI ERTIGA,400000.0,STEAL DEAL,DL-8C,2015,Petrol,32008,Manual,1373.0,2,2015,Unknown,Cars24,VXI,11,11,4,False,148,False,2909.82,False,0.18181818181818182
91,MARUTI WAGON R,140000.0,STEAL DEAL,DL-5C,2013,CNG,319288,Manual,998.0,2,2013,3rd Party,Cars24, LXI ,13,13,2,True,595,False,24560.62,False,0.15384615384615385
92,RENAULT TRIBER,357000.0,GREAT PRICE,DL-12,2020,Petrol,46466,Manual,999.0,1,2019,3rd Party,Cars24,RXT,7,6,8,False,75,False,6638.0,False,0.14285714285714285
93,HYUNDAI AURA,480000.0,STEAL DEAL,DL-12,2022,CNG,40601,Manual,1197.0,2,2022,Unknown,Cars24,S  ,4,4,11,False,60,False,10150.25,False,0.5
94,TOYOTA INNOVA,1150000.0,STEAL DEAL,DL-3C,2018,Diesel,199078,Manual,2393.0,2,2018,Unknown,Cars24,CRYSTA  VX 7 STR,8,8,2,True,63,False,24884.75,False,0.25
95,RENAULT DUSTER,299000.0,STEAL DEAL,DL-8C,2016,Diesel,148383,Manual,1461.0,1,2016,Unknown,Cars24,85 PS RXZ ,10,10,0,True,79,False,14838.3,False,0.1
96,MARUTI CIAZ,286000.0,STEAL DEAL,DL-1C,2014,Petrol,134832,Manual,1373.0,1,2014,Comprehensive,Cars24,VXI+,12,12,3,True,268,False,11236.0,False,0.08333333333333333
97,CHEVROLET SPARK,59000.0,GREAT PRICE,DL-8C,2013,CNG,97586,Manual,995.0,3,2012,Unknown,Cars24,LT ,14,13,1,True,4,False,6970.43,False,0.21428571428571427
98,MARUTI BALENO,469000.00000000006,STEAL DEAL,DL-9C,2021,Petrol,38328,Manual,1197.0,2,2021,Unknown,Cars24,ZETA  ,5,5,10,False,493,False,7665.6,False,0.4
99,HYUNDAI I10,105000.0,STEAL DEAL,DL-4C,2013,CNG,216733,Manual,1197.0,3,2013,Unknown,Cars24,MAGNA ,13,13,2,True,373,False,16671.77,False,0.23076923076923078
100,TATA TIAGO,700000.0,STEAL DEAL,HR-72,2025,CNG,7998,Automatic,1199.0,1,2025,Unknown,Cars24,XZA PLUS ,1,1,14,False,260,True,7998.0,False,1.0
101,MARUTI S,453000.0,FAIR PRICE,DL-9C,2024,Petrol,13369,Manual,998.0,1,2024,3rd Party,Cars24,PRESSO VXI+,2,2,13,False,83,False,6684.5,False,0.5
102,HYUNDAI I10,120000.0,STEAL DEAL,DL-4C,2013,Petrol,54228,Manual,1086.0,3,2012,Unknown,Cars24,MAGNA ,14,13,1,True,373,False,3873.43,False,0.21428571428571427
103,HYUNDAI GRAND I10,363000.0,GREAT PRICE,DL-11,2017,CNG,100261,Manual,1197.0,1,2017,Unknown,Cars24,SPORTZ  KAPPA VTVT,9,9,6,False,457,False,11140.11,False,0.1111111111111111
104,DATSUN REDI,129000.0,STEAL DEAL,DL-8C,2017,CNG,97020,Manual,999.0,1,2017,3rd Party,Cars24,GO T(O) ,9,9,6,False,17,False,10780.0,False,0.1111111111111111
105,NISSAN SUNNY,131000.0,STEAL DEAL,DL-3C,2011,Petrol,48939,Manual,1498.0,1,2011,3rd Party,Cars24,XE,15,15,0,True,13,False,3262.6,False,0.06666666666666667
106,FORD FIGO,252999.99999999997,STEAL DEAL,DL-10,2017,Diesel,72871,Manual,1498.0,2,2017,Unknown,Cars24,ASPIRE TITANIUM ,9,9,1,True,62,False,8096.78,False,0.2222222222222222
107,HYUNDAI I20,216000.0,STEAL DEAL,DL-2C,2014,Petrol,54409,Manual,1197.0,2,2013,3rd Party,Cars24,SPORTZ ,13,12,2,True,314,False,4185.31,False,0.15384615384615385
108,HONDA CITY,114999.99999999999,STEAL DEAL,DL-1C,2011,Petrol,76481,Manual,1497.0,1,2011,Unknown,Cars24, V,15,15,0,True,684,False,5098.73,False,0.06666666666666667
109,MARUTI DZIRE,595000.0,STEAL DEAL,22-BH,2022,CNG,89620,Manual,1197.0,1,2022,Unknown,Cars24,VXI ,4,4,11,False,99,False,22405.0,False,0.25
110,HYUNDAI VERNA,679000.0,STEAL DEAL,DL-4C,2021,CNG,72277,Manual,1497.0,2,2021,Unknown,Cars24,S PLUS  VTVT,5,5,10,False,220,False,14455.4,False,0.4
