,model,count
0,KIA SELTOS,294
1,TATA NEXON,265
2,KIA SONET,210
3,HYUNDAI CRETA,177
4,MARUTI BALENO,174
5,HYUNDAI VENUE,165
6,MARUTI SWIFT,121
7,TATA TIAGO,120
8,MARUTI GRAND VITARA,120
9,TATA PUNCH,119
10,MG HECTOR,113
11,HONDA CITY,98
12,MARUTI WAGON-R,98
13,TATA ALTROZ,97
14,HYUNDAI I20,91
15,KIA CARENS,90
16,NISSAN MAGNITE,87
17,MARUTI XL6,79
18,MG ASTOR,71
19,MARUTI BREZZA,71
20,RENAULT TRIBER,66
21,HYUNDAI GRAND I10,64
22,HONDA AMAZE,61
23,HYUNDAI AURA,60
24,HYUNDAI VERNA,57
25,MAHINDRA XUV300,57
26,VOLKSWAGEN TAIGUN,52
27,TOYOTA GLANZA,49
28,TATA TIGOR,49
29,SKODA KUSHAQ,45
30,MARUTI ERTIGA,45
31,SKODA SLAVIA,41
32,MARUTI CELERIO,41
33,MARUTI CIAZ,39
34,MARUTI WAGON R,39
35,MARUTI DZIRE,39
36,MARUTI S,38
37,MARUTI IGNIS,38
38,RENAULT KIGER,37
39,MARUTI ALTO,35
40,MARUTI FRONX,34
41,VOLKSWAGEN VIRTUS,31
42,RENAULT KWID,31
43,HYUNDAI GRAND I10 NIOS,30
44,MARUTI VITARA,29
45,JEEP COMPASS,26
46,MARUTI VITARA BREZZA,25
47,MG HECTOR PLUS,25
48,MAHINDRA BOLERO,24
49,TOYOTA URBAN,24
50,HYUNDAI ALCAZAR,21
51,HONDA ELEVATE,19
52,HYUNDAI SANTRO,16
53,HYUNDAI EXTER,16
54,MARUTI SWIFT DZIRE,16
55,VOLKSWAGEN POLO,15
56,TATA CURVV,14
57,MAHINDRA THAR,14
58,HONDA WR-V,14
59,HONDA AMAZE 2ND GEN,13
60,MARUTI EECO,13
61,FORD ECOSPORT,12
62,MARUTI JIMNY,12
63,MAHINDRA XUV,11
64,TOYOTA HYRYDER,10
65,KIA SYROS,8
66,MAHINDRA BOLERO NEO,8
67,MARUTI ALTO 800,8
68,SKODA RAPID,7
69,HYUNDAI ELITE,7
70,NISSAN KICKS,6
71,RENAULT DUSTER,5
72,MG ZS,5
73,BMW X1,5
74,CITROEN C3,5
75,TOYOTA RUMION,5
76,MAHINDRA XUV 3XO,4
77,MARUTI ALTO K10,4
78,FORD FREESTYLE,4
79,MARUTI S CROSS,4
80,MARUTI S-PRESSO,4
81,HONDA JAZZ,3
82,MARUTI VICTORIS,3
83,HYUNDAI I20 N-LINE,3
84,VOLKSWAGEN VENTO,3
85,TOYOTA URBAN CRUISER,3
86,MERCEDES-BENZ C-CLASS,2
87,HYUNDAI VENUE N LINE,2
88,HYUNDAI I10,2
89,SKODA KYLAQ,2
90,TOYOTA URBAN CRUISER EBELLA,2
91,DATSUN REDI,1
92,FORD FIGO,1
93,TATA NANO,1
94,MAHINDRA XUV400,1
95,HYUNDAI XCENT,1
96,CITROEN E,1
97,MG COMET,1
98,TOYOTA YARIS,1
99,TATA ZEST,1
100,HYUNDAI EON,1
101,TATA TIAGO NRG,1
102,MERCEDES-BENZ A-CLASS LIMOUSINE,1
103,HYUNDAI CRETA N LINE,1
104,MARUTI SWIFT DZIRE TOUR,1
105,KIA CARENS CLAVIS,1
106,MERCEDES-BENZ GLA,1
107,HYUNDAI I20 ACTIVE,1
108,FORD ASPIRE,1
